TASA DE DENUNCIA POR DELITOS DE ROBOS CON VIOLENCIA O INTIMIDACIÓN;;;;;;;;;;;;;;;;;;
SEGÚN UNIDAD TERRITORIAL;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
ORDEN;UN_ADMIN;UNIDAD;Año;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
1;PAÍS;TOTAL PAÍS;;302,4;310,3;358,4;332,4;324,0;279,8;321,5;275,9;295,4;334,9;340,9;330,0;345,5;361,5;383,2
2;REGION;Región de Arica y Parinacota;;133,8;146,5;166,6;161,0;212,5;186,3;201,2;188,6;180,4;179,9;181,4;208,6;182,2;182,7;268,4
3;PROVINCIA;Provincia de Arica;;135,9;148,7;168,6;163,4;215,2;189,0;204,1;191,3;183,0;181,9;183,5;211,5;184,7;185,2;272,0
4;COMUNA;Arica;;136,7;149,6;169,6;164,4;216,4;190,1;205,2;192,3;184,0;182,9;184,0;212,6;185,3;186,2;273,0
5;COMUNA;Camarones;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;83,1;0,0;82,1;0,0;81,4
6;PROVINCIA;Provincia de Parinacota;;0,0;0,0;32,6;0,0;32,5;0,0;0,0;0,0;0,0;31,6;31,4;0,0;0,0;0,0;0,0
7;COMUNA;General Lagos;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;124,7;0,0;0,0;0,0;0,0;0,0
8;COMUNA;Putre;;0,0;0,0;45,0;0,0;44,3;0,0;0,0;0,0;0,0;0,0;41,9;0,0;0,0;0,0;0,0
9;REGION;Región de Tarapacá;;271,0;248,3;322,2;408,4;407,6;366,8;476,2;330,9;362,7;410,3;420,8;392,1;297,0;294,1;307,7
10;PROVINCIA;Provincia de Iquique;;284,1;265,5;343,4;433,3;429,4;390,9;506,9;351,2;386,6;441,7;449,2;419,3;314,3;308,4;324,1
11;COMUNA;Alto Hospicio;;105,1;176,4;180,5;226,6;276,8;318,6;505,2;368,6;373,9;362,9;331,8;292,5;280,3;348,0;418,0
12;COMUNA;Iquique;;365,4;307,6;422,2;535,2;505,8;427,6;507,8;342,1;393,3;483,9;512,9;489,0;333,2;286,0;270,2
13;PROVINCIA;Provincia de Tamarugal;;104,0;30,5;54,5;96,3;135,7;68,3;97,4;81,8;71,4;28,7;76,0;62,6;88,0;121,5;109,8
14;COMUNA;Camiña;;0,0;0,0;0,0;0,0;81,2;0,0;0,0;0,0;79,4;0,0;0,0;0,0;0,0;0,0;0,0
15;COMUNA;Colchane;;0,0;0,0;0,0;0,0;202,2;0,0;201,5;66,9;66,9;133,6;66,7;0,0;133,3;196,5;0,0
16;COMUNA;Huara;;81,7;81,6;40,6;80,5;119,6;0,0;39,0;0,0;0,0;75,4;37,2;73,7;36,4;176,9;0,0
17;COMUNA;Pica;;79,2;0,0;49,6;48,0;116,1;90,1;43,7;84,8;123,9;20,1;59,0;0,0;56,4;0,0;87,0
18;COMUNA;Pozo Almonte;;146,0;37,7;72,7;140,2;143,6;89,7;125,8;106,3;66,2;14,3;96,9;94,3;111,2;156,6;155,8
19;REGION;Región de Antofagasta;;138,4;118,1;159,7;240,2;303,4;316,9;341,6;313,6;296,1;326,6;301,4;270,5;277,5;282,0;264,1
20;PROVINCIA;Provincia de Antofagasta;;102,4;87,1;143,0;204,3;327,9;355,2;391,2;360,8;327,3;312,8;290,1;259,7;275,1;269,6;244,6
21;COMUNA;Antofagasta;;107,3;89,1;146,8;216,2;344,9;373,1;407,0;379,5;339,8;327,6;300,2;264,1;287,4;279,7;252,1
22;COMUNA;Mejillones;;21,6;21,0;61,1;39,5;124,9;186,8;290,7;132,7;232,4;175,7;195,6;254,3;108,3;103,6;176,8
23;COMUNA;Sierra Gorda;;0,0;364,7;144,1;71,1;140,5;0,0;68,5;67,7;66,8;65,8;130,0;192,4;252,8;122,5;650,9
24;COMUNA;Taltal;;45,0;53,4;105,5;26,1;42,9;34,0;67,1;66,4;82,0;40,4;103,9;142,2;77,9;152,9;37,4
25;PROVINCIA;Provincia de El Loa;;232,6;201,8;212,2;351,0;286,4;272,9;277,6;246,8;264,4;380,7;356,3;318,0;302,8;343,5;335,5
26;COMUNA;Calama;;238,4;207,4;214,8;357,6;292,0;274,6;284,4;257,5;274,5;395,3;373,6;334,2;317,7;355,8;351,0
27;COMUNA;Ollagüe;;0,0;0,0;0,0;0,0;0,0;312,5;319,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;352,1
28;COMUNA;San Pedro de Atacama;;92,1;68,8;161,6;213,5;173,8;235,0;132,4;38,2;73,7;106,9;34,6;22,4;32,7;125,2;49,9
29;PROVINCIA;Provincia de Tocopilla;;70,3;47,3;86,2;89,6;122,9;114,3;108,5;117,8;99,6;204,7;144,2;146,9;170,0;97,3;110,4
30;COMUNA;María Elena;;32,9;22,8;0,0;24,4;0,0;52,0;40,1;82,2;0,0;14,3;0,0;29,7;75,2;59,8;59,3
31;COMUNA;Tocopilla;;84,0;55,8;115,2;110,7;161,3;133,1;128,5;127,8;126,9;255,5;181,7;176,6;193,4;106,5;122,9
32;REGION;Región de Atacama;;139,3;127,7;167,2;208,0;260,6;209,5;220,4;208,9;184,2;226,5;197,0;218,9;183,2;184,8;226,1
33;PROVINCIA;Provincia de Copiapó;;189,1;173,8;232,8;274,1;350,5;270,4;291,4;277,9;244,3;315,4;279,8;302,5;255,6;255,3;289,8
34;COMUNA;Caldera;;133,8;45,7;108,6;162,5;177,5;198,0;347,1;231,2;147,8;162,3;231,7;239,6;242,2;190,9;276,8
35;COMUNA;Copiapó;;207,2;200,5;257,4;299,0;384,3;293,5;300,9;302,0;272,2;345,7;299,2;326,7;272,6;275,1;296,1
36;COMUNA;Tierra Amarilla;;54,7;31,1;107,9;130,0;182,1;97,8;111,9;59,2;44,1;160,5;116,0;100,9;71,7;106,7;232,6
37;PROVINCIA;Provincia de Chañaral;;12,4;31,9;81,4;96,2;117,9;146,8;62,1;80,2;59,8;63,8;21,4;54,0;57,9;83,5;90,8
38;COMUNA;Chañaral;;22,3;52,4;127,9;135,9;166,5;250,2;113,8;121,6;91,3;99,0;22,9;107,0;91,9;122,3;152,4
39;COMUNA;Diego de Almagro;;5,3;16,7;46,0;65,1;78,9;62,1;19,0;45,1;32,7;33,1;20,1;6,8;27,5;48,4;34,7
40;PROVINCIA;Provincia de Huasco;;78,8;59,9;46,8;95,4;101,1;86,7;108,2;88,9;83,0;66,8;54,9;69,7;46,6;43,7;112,5
41;COMUNA;Alto del Carmen;;0,0;0,0;19,5;19,3;0,0;0,0;18,7;0,0;18,4;0,0;0,0;0,0;0,0;0,0;0,0
42;COMUNA;Freirina;;0,0;0,0;0,0;15,1;29,7;29,3;14,4;14,3;14,1;13,9;0,0;0,0;27,0;26,7;39,5
43;COMUNA;Huasco;;0,0;44,5;0,0;42,7;125,8;82,3;70,7;69,6;68,5;67,5;47,5;140,8;83,5;27,4;81,1
44;COMUNA;Vallenar;;109,9;75,9;63,7;122,5;115,8;103,5;136,2;111,1;101,1;80,3;69,0;72,2;46,7;53,5;139,7
45;REGION;Región de Coquimbo;;217,8;214,7;205,0;215,3;225,3;170,6;187,7;162,1;159,1;202,8;192,3;187,5;186,1;182,7;202,3
46;PROVINCIA;Provincia de Elqui;;296,4;283,1;273,3;283,3;285,1;195,8;215,3;194,1;189,4;240,9;239,2;226,1;235,3;226,4;246,1
