Region;Comuna;Codigo comuna;Fecha;Clave;Casos Diarios;Casos Acumulados;Muertes;Casos Activos;Recuperados;Recuperados Diarios;Día;Fallecidos Diarios;on-off;Max Día;Poblacion
Tarapacá;Iquique;1101;43913;110143913;4;4;0;4;0;0;1;0;START;108;191468
Tarapacá;Iquique;1101;43914;110143914;0;4;0;4;0;0;2;0;ON;108;191468
Tarapacá;Iquique;1101;43915;110143915;0;4;0;4;0;0;3;0;ON;108;191468
Tarapacá;Iquique;1101;43916;110143916;0;4;0;4;0;0;4;0;ON;108;191468
Tarapacá;Iquique;1101;43917;110143917;3;7;0;7;0;0;5;0;ON;108;191468
Tarapacá;Iquique;1101;43918;110143918;0;7;0;3;4;4;6;0;ON;108;191468
Tarapacá;Iquique;1101;43919;110143919;2;9;0;5;4;0;7;0;ON;108;191468
Tarapacá;Iquique;1101;43920;110143920;0;9;0;5;4;0;8;0;ON;108;191468
Tarapacá;Iquique;1101;43921;110143921;0;9;0;5;4;0;9;0;ON;108;191468
Tarapacá;Iquique;1101;43922;110143922;0;9;0;2;7;3;10;0;ON;108;191468
Tarapacá;Iquique;1101;43923;110143923;2;11;0;4;7;0;11;0;ON;108;191468
Tarapacá;Iquique;1101;43924;110143924;0;11;0;2;9;2;12;0;ON;108;191468
Tarapacá;Iquique;1101;43925;110143925;4;15;0;6;9;0;13;0;ON;108;191468
Tarapacá;Iquique;1101;43926;110143926;0;15;0;6;9;0;14;0;ON;108;191468
Tarapacá;Iquique;1101;43927;110143927;0;15;0;6;9;0;15;0;ON;108;191468
Tarapacá;Iquique;1101;43928;110143928;0;15;0;4;11;2;16;0;ON;108;191468
Tarapacá;Iquique;1101;43929;110143929;3;18;0;7;11;0;17;0;ON;108;191468
Tarapacá;Iquique;1101;43930;110143930;1;19;0;4;15;4;18;0;ON;108;191468
Tarapacá;Iquique;1101;43931;110143931;0;19;0;4;15;0;19;0;ON;108;191468
Tarapacá;Iquique;1101;43932;110143932;1;20;0;5;15;0;20;0;ON;108;191468
Tarapacá;Iquique;1101;43933;110143933;1;21;0;6;15;0;21;0;ON;108;191468
Tarapacá;Iquique;1101;43934;110143934;4;25;0;7;18;3;22;0;ON;108;191468
Tarapacá;Iquique;1101;43935;110143935;1;26;0;7;19;1;23;0;ON;108;191468
Tarapacá;Iquique;1101;43936;110143936;0;26;0;7;19;0;24;0;ON;108;191468
Tarapacá;Iquique;1101;43937;110143937;1;27;0;7;20;1;25;0;ON;108;191468
Tarapacá;Iquique;1101;43938;110143938;4;31;0;10;21;1;26;0;ON;108;191468
Tarapacá;Iquique;1101;43939;110143939;2;33;0;8;25;4;27;0;ON;108;191468
Tarapacá;Iquique;1101;43940;110143940;3;36;0;10;26;1;28;0;ON;108;191468
Tarapacá;Iquique;1101;43941;110143941;0;36;0;10;26;0;29;0;ON;108;191468
Tarapacá;Iquique;1101;43942;110143942;4;40;0;13;27;1;30;0;ON;108;191468
Tarapacá;Iquique;1101;43943;110143943;5;45;0;14;31;4;31;0;ON;108;191468
Tarapacá;Iquique;1101;43944;110143944;11;56;0;23;33;2;32;0;ON;108;191468
Tarapacá;Iquique;1101;43945;110143945;2;58;0;22;36;3;33;0;ON;108;191468
Tarapacá;Iquique;1101;43946;110143946;6;64;1;27;36;0;34;1;ON;108;191468
Tarapacá;Iquique;1101;43947;110143947;7;71;1;30;40;4;35;0;ON;108;191468
Tarapacá;Iquique;1101;43948;110143948;4;75;1;29;45;5;36;0;ON;108;191468
Tarapacá;Iquique;1101;43949;110143949;3;78;1;21;56;11;37;0;ON;108;191468
Tarapacá;Iquique;1101;43950;110143950;4;82;1;23;58;2;38;0;ON;108;191468
Tarapacá;Iquique;1101;43951;110143951;11;93;1;28;64;6;39;0;ON;108;191468
Tarapacá;Iquique;1101;43952;110143952;0;93;1;21;71;7;40;0;ON;108;191468
Tarapacá;Iquique;1101;43953;110143953;6;99;1;23;75;4;41;0;ON;108;191468
Tarapacá;Iquique;1101;43954;110143954;20;119;1;40;78;3;42;0;ON;108;191468
Tarapacá;Iquique;1101;43955;110143955;16;135;1;52;82;4;43;0;ON;108;191468
Tarapacá;Iquique;1101;43956;110143956;25;160;1;66;93;11;44;0;ON;108;191468
Tarapacá;Iquique;1101;43957;110143957;15;175;1;81;93;0;45;0;ON;108;191468
Tarapacá;Iquique;1101;43958;110143958;62;237;1;137;99;6;46;0;ON;108;191468
Tarapacá;Iquique;1101;43959;110143959;32;269;1;149;119;20;47;0;ON;108;191468
Tarapacá;Iquique;1101;43960;110143960;11;280;1;144;135;16;48;0;ON;108;191468
Tarapacá;Iquique;1101;43961;110143961;20;300;1;139;160;25;49;0;ON;108;191468
Tarapacá;Iquique;1101;43962;110143962;14;314;1;138;175;15;50;0;ON;108;191468
Tarapacá;Iquique;1101;43963;110143963;16;330;1;92;237;62;51;0;ON;108;191468
Tarapacá;Iquique;1101;43964;110143964;19;349;1;79;269;32;52;0;ON;108;191468
Tarapacá;Iquique;1101;43965;110143965;37;386;1;105;280;11;53;0;ON;108;191468
Tarapacá;Iquique;1101;43966;110143966;62;448;1;147;300;20;54;0;ON;108;191468
Tarapacá;Iquique;1101;43967;110143967;45;493;1;178;314;14;55;0;ON;108;191468
Tarapacá;Iquique;1101;43968;110143968;68;561;2;229;330;16;56;1;ON;108;191468
Tarapacá;Iquique;1101;43969;110143969;50;611;2;260;349;19;57;0;ON;108;191468
Tarapacá;Iquique;1101;43970;110143970;38;649;2;261;386;37;58;0;ON;108;191468
Tarapacá;Iquique;1101;43971;110143971;16;665;2;215;448;62;59;0;ON;108;191468
Tarapacá;Iquique;1101;43972;110143972;57;722;2;227;493;45;60;0;ON;108;191468
Tarapacá;Iquique;1101;43973;110143973;87;809;2;246;561;68;61;0;ON;108;191468
Tarapacá;Iquique;1101;43974;110143974;48;857;2;244;611;50;62;0;ON;108;191468
Tarapacá;Iquique;1101;43975;110143975;50;907;4;254;649;38;63;2;ON;108;191468
Tarapacá;Iquique;1101;43976;110143976;42;949;4;280;665;16;64;0;ON;108;191468
Tarapacá;Iquique;1101;43977;110143977;59;1008;4;282;722;57;65;0;ON;108;191468
Tarapacá;Iquique;1101;43978;110143978;60;1068;7;252;809;87;66;3;ON;108;191468
Tarapacá;Iquique;1101;43979;110143979;68;1136;7;272;857;48;67;0;ON;108;191468
Tarapacá;Iquique;1101;43980;110143980;88;1224;8;309;907;50;68;1;ON;108;191468
Tarapacá;Iquique;1101;43981;110143981;68;1292;9;334;949;42;69;1;ON;108;191468
Tarapacá;Iquique;1101;43982;110143982;65;1357;12;337;1008;59;70;3;ON;108;191468
Tarapacá;Iquique;1101;43983;110143983;91;1448;13;367;1068;60;71;1;ON;108;191468
Tarapacá;Iquique;1101;43984;110143984;28;1476;14;326;1136;68;72;1;ON;108;191468
Tarapacá;Iquique;1101;43985;110143985;53;1529;19;286;1224;88;73;5;ON;108;191468
Tarapacá;Iquique;1101;43986;110143986;87;1616;19;305;1292;68;74;0;ON;108;191468
Tarapacá;Iquique;1101;43987;110143987;78;1694;19;318;1357;65;75;0;ON;108;191468
Tarapacá;Iquique;1101;43988;110143988;68;1762;19;295;1448;91;76;0;ON;108;191468
Tarapacá;Iquique;1101;43989;110143989;101;1863;21;366;1476;28;77;2;ON;108;191468
Tarapacá;Iquique;1101;43990;110143990;38;1901;21;351;1529;53;78;0;ON;108;191468
Tarapacá;Iquique;1101;43991;110143991;48;1949;21;312;1616;87;79;0;ON;108;191468
Tarapacá;Iquique;1101;43992;110143992;65;2014;26;294;1694;78;80;5;ON;108;191468
Tarapacá;Iquique;1101;43993;110143993;70;2084;26;296;1762;68;81;0;ON;108;191468
Tarapacá;Iquique;1101;43994;110143994;66;2150;26;261;1863;101;82;0;ON;108;191468
Tarapacá;Iquique;1101;43995;110143995;107;2257;31;325;1901;38;83;5;ON;108;191468
Tarapacá;Iquique;1101;43996;110143996;93;2350;37;364;1949;48;84;6;ON;108;191468
Tarapacá;Iquique;1101;43997;110143997;48;2398;37;347;2014;65;85;0;ON;108;191468
Tarapacá;Iquique;1101;43998;110143998;67;2465;37;344;2084;70;86;0;ON;108;191468
Tarapacá;Iquique;1101;43999;110143999;0;2465;37;278;2150;66;87;0;ON;108;191468
Tarapacá;Iquique;1101;44000;110144000;64;2529;37;235;2257;107;88;0;ON;108;191468
Tarapacá;Iquique;1101;44001;110144001;90;2619;37;232;2350;93;89;0;ON;108;191468
Tarapacá;Iquique;1101;44002;110144002;93;2712;41;273;2398;48;90;4;ON;108;191468
Tarapacá;Iquique;1101;44003;110144003;62;2774;41;268;2465;67;91;0;ON;108;191468
Tarapacá;Iquique;1101;44004;110144004;56;2830;41;324;2465;0;92;0;ON;108;191468
Tarapacá;Iquique;1101;44005;110144005;56;2886;41;316;2529;64;93;0;ON;108;191468
Tarapacá;Iquique;1101;44006;110144006;36;2922;45;258;2619;90;94;4;ON;108;191468
Tarapacá;Iquique;1101;44007;110144007;58;2980;46;222;2712;93;95;1;ON;108;191468
Tarapacá;Iquique;1101;44008;110144008;80;3060;46;240;2774;62;96;0;ON;108;191468
Tarapacá;Iquique;1101;44009;110144009;29;3089;49;210;2830;56;97;3;ON;108;191468
Tarapacá;Iquique;1101;44010;110144010;71;3160;52;222;2886;56;98;3;ON;108;191468
Tarapacá;Iquique;1101;44011;110144011;44;3204;52;230;2922;36;99;0;ON;108;191468
Tarapacá;Iquique;1101;44012;110144012;43;3247;52;215;2980;58;100;0;ON;108;191468
Tarapacá;Iquique;1101;44013;110144013;41;3288;52;176;3060;80;101;0;ON;108;191468
Tarapacá;Iquique;1101;44014;110144014;61;3349;56;204;3089;29;102;4;ON;108;191468
Tarapacá;Iquique;1101;44015;110144015;48;3397;57;180;3160;71;103;1;ON;108;191468
Tarapacá;Iquique;1101;44016;110144016;55;3452;59;189;3204;44;104;2;ON;108;191468
Tarapacá;Iquique;1101;44017;110144017;86;3538;59;232;3247;43;105;0;ON;108;191468
Tarapacá;Iquique;1101;44018;110144018;73;3611;59;264;3288;41;106;0;ON;108;191468
Tarapacá;Iquique;1101;44019;110144019;39;3650;59;242;3349;61;107;0;ON;108;191468
Tarapacá;Iquique;1101;44020;110144020;56;3706;59;250;3397;48;108;0;ON;108;191468
Tarapacá;Alto Hospicio;1107;43915;110743915;1;1;0;1;0;0;1;0;START;106;108375
Tarapacá;Alto Hospicio;1107;43916;110743916;0;1;0;1;0;0;2;0;ON;106;108375
Tarapacá;Alto Hospicio;1107;43917;110743917;0;1;0;1;0;0;3;0;ON;106;108375
Tarapacá;Alto Hospicio;1107;43918;110743918;0;1;0;1;0;0;4;0;ON;106;108375
Tarapacá;Alto Hospicio;1107;43919;110743919;0;1;0;1;0;0;5;0;ON;106;108375
Tarapacá;Alto Hospicio;1107;43920;110743920;2;3;0;2;1;1;6;0;ON;106;108375
Tarapacá;Alto Hospicio;1107;43921;110743921;0;3;0;2;1;0;7;0;ON;106;108375
Tarapacá;Alto Hospicio;1107;43922;110743922;0;3;0;2;1;0;8;0;ON;106;108375
